names	sampleType	injectionOrder	batch	M53T345	M58T69	M59T246	M59T62	M59T270	M62T56	M64T348	M64T379	M65T347	M65T379
HU_neg_066	sample	59	ne1	44174.1106217275	156256.066651197	52322.6700965553	16507.2519246308	38225.6483850807	4674015.99279948	27923.2807544619	6418.51832176945	0	12209.900287666
HU_neg_068	sample	60	ne1	21020.4732296622	164375.368988916	45242.337045846	6648.33209083934	12608.732784406	6341741.16408753	29904.8276172377	29575.6734089746	8655.72495167114	7069.20612554734
HU_neg_071	sample	61	ne1	0	568101.451633198	0	3574.75623155882	0	3266333.40839362	9974.6512046819	1184.41137031542	2785.89360160062	0
HU_neg_072	sample	62	ne1	38080.7304204211	198731.697795653	71949.6768747915	10305.7822851788	31842.2457257804	4405504.9603768	44186.5428420282	18458.6056051155	0	18788.451584342
HU_neg_077	sample	64	ne1	32382.6256336037	298050.506407476	40570.8458974365	11197.1973462941	0	2970410.92216402	20314.7802627659	8830.84076082416	0	9150.4104910484
HU_neg_078	sample	65	ne1	27785.3736965079	136930.964505147	31600.6190047159	7721.0461576125	14716.1938530442	8374745.87828684	41207.4962202505	2580.9033770104	0	0
QC1_005	pool	66	ne1	37328.4752249551	392412.228285672	37626.3003148445	10772.9058284113	6820.07789513299	6496428.01892771	11342.2417570869	9606.67196061874	7665.56274089389	11225.9296972091
HU_neg_079	sample	69	ne1	19541.5803787906	108146.715065651	0	3216.35770651402	2949.98963843552	3940160.05597989	14953.9471780585	8886.23658280706	0	0
HU_neg_083	sample	70	ne1	34889.5607768396	281541.321073282	42124.1914626181	10736.7673841458	7350.63216437937	6933396.10279874	37863.3669545055	7540.91371992259	24411.9035717586	9575.81479249076
HU_neg_086	sample	72	ne1	164054.478223313	2503990.66370475	186629.873044516	19769.4924994816	109740.656039014	9179249.98108291	50679.4515924968	22027.1098652443	26673.3764224817	25385.3644103777
HU_neg_088	sample	73	ne1	68963.9935434008	1046891.78691666	52272.0704566892	9830.83072491475	9926.81988604011	3793087.17057564	7980.94570435319	4173.52997922991	0	11947.3457132044
HU_neg_089	sample	74	ne1	39557.2309303527	22030.2904221314	25007.3740929468	4064.65515349104	5517.08856957629	5361817.08961307	21940.225340335	22515.1438328719	0	11457.7990816385
HU_neg_090	sample	75	ne1	29623.8667089724	196290.024894991	15735.947539715	19985.4316193388	0	5129910.64352617	16478.1130889576	7484.65805996855	4957.78878335087	4758.98691288765
HU_neg_091	sample	76	ne1	53765.4492117118	1271993.0470932	43080.1304057701	11471.5681973938	0	4751034.25724396	40124.3656589483	4192.5839098119	5893.35173627485	11662.7155322396
HU_neg_093	sample	77	ne1	9298.12832080944	65081.3019654239	2830.03268828135	8896.33358877441	0	3413867.95940863	12199.8449687757	4227.5275188946	0	0
HU_neg_094	sample	78	ne1	1950.95686964544	228316.57346643	4932.74999244552	15202.3181840652	6244.40414370355	6995421.9839718	7111.60342794417	2181.08538212577	9232.20647814967	8254.41204449586
QC1_006	pool	79	ne1	77308.9014034962	419787.921850727	33589.7089385292	7391.1313889837	14649.4518517808	6149016.9472868	14861.9811354758	16412.7639575342	5897.51053646421	0
HU_neg_099	sample	83	ne1	11959.2640840444	403161.333465968	71225.3233180603	12069.0339460942	27766.6512215668	8420249.95621669	46021.4825057457	3998.42916859386	0	0
HU_neg_100	sample	84	ne1	42652.1227840538	1469412.45106199	38497.5200311626	4757.4773289626	24989.3098015974	2688347.93616584	33090.8128992258	4600.15552268383	0	0
HU_neg_101	sample	85	ne1	0	0	0	0	2423.68127933349	3187032.23884324	5363.34304947525	1792.65076073558	0	0
HU_neg_105	sample	86	ne1	24286.3336183775	100811.103655327	10972.9958269913	14135.018297577	0	2495250.71825359	21551.409966003	12112.0223224141	10595.9640451461	0
HU_neg_107	sample	87	ne1	75811.0410858136	2226770.57247037	25495.0364344114	8989.03239871163	10808.217683755	6674237.71856102	15791.0152136653	13548.3819148826	0	30254.4402564108
HU_neg_108	sample	88	ne1	0	17438.9173232947	1655.86700614556	0	0	3004409.28711121	3109.1211607004	0	0	0
HU_neg_109	sample	89	ne1	0	94158.1062389883	0	0	0	2852822.37482317	21057.7420730699	8928.15228064209	0	0
HU_neg_110	sample	90	ne1	9464.23645760711	131644.774637768	0	0	0	5001369.74895985	26844.4324929761	9309.02622284797	0	2218.81233907726
HU_neg_111	sample	91	ne1	174377.136304784	482126.550003249	38418.3731330933	9914.97068348542	0	3784389.59036083	29075.0010619562	7433.58405892605	0	0
QC1_007	pool	92	ne1	48086.7360433165	490614.9243975	25711.1801748317	19413.1840839478	6775.97414246821	6190217.06835335	24352.7500950215	9073.3679260025	3600.02698782932	0
HU_neg_116	sample	96	ne1	14925.1880942963	145561.482607826	4562.86423931666	3547.98128132745	0	3224439.77490986	20885.6361154184	10290.4812255774	0	0
HU_neg_118	sample	98	ne1	15358.803016403	80286.3084800447	6997.61498102535	4480.28569895142	2657.68931528205	3805032.87823944	26060.7834583563	2696.79595988922	0	0
HU_neg_123	sample	100	ne1	181689.711577104	30498.4605862925	60489.2375351237	2974.35702783867	7593.98315581766	2065424.5818813	0	23927.5991562851	0	45224.8877985745
HU_neg_125	sample	102	ne1	42975.0756929933	105105.470114663	39788.9965770183	7606.67981996307	11328.6097300683	5674431.85987776	0	11198.2294486914	0	0
HU_neg_126	sample	103	ne1	47882.0867588327	119843.74820098	65845.9732136427	11244.9677062497	11379.1554085269	8140870.25563597	39478.4722934955	10278.9632698606	3104.13752275366	0
HU_neg_127	sample	104	ne1	147474.219553644	506286.279915761	68831.5530827202	6487.65368527879	27569.7582839353	5167093.57345435	0	10741.2288087011	0	0
QC1_008	pool	105	ne1	20423.1003315362	350604.857527433	27366.8914569094	3024.29145379431	7428.02001203955	5769566.84922557	32018.323220037	27832.3645465165	1305.8153658586	0
HU_neg_130	sample	109	ne1	96186.6084956545	619199.988300594	27135.8050980642	12439.1649595755	6641.32270882145	4152313.68767174	33097.9052807645	0	0	17162.4177720751
HU_neg_131	sample	110	ne1	81450.8051605474	1760798.57342623	41357.3432758536	10764.3730629656	2956.60485972174	3114239.45714307	28371.7248936393	7276.56393049523	0	33814.6038957995
HU_neg_132	sample	111	ne1	75984.6073191648	53763.8317864568	23657.2221271394	2429.09752126488	935.394404030643	18202719.1051491	18093.329394396	9463.47969885533	12198.9175700778	0
HU_neg_133	sample	112	ne1	0	97096.5608443561	35779.8553236394	14308.7321658597	5510.42690171216	5152357.80306311	21564.3569385912	32575.2603337857	4033.05588518951	0
HU_neg_134	sample	113	ne1	0	244297.058997274	66616.9419431012	14960.8690726911	0	8362241.1619532	48641.7061965878	10411.2077495531	5563.31298292953	13062.7324556288
HU_neg_138	sample	117	ne1	37916.9838544697	263936.877246144	11355.7004415321	13468.1724542111	33501.4435058795	5337075.87691031	69884.3419415625	5313.16188990932	10252.6717734315	40942.8220567403
QC1_009	pool	118	ne1	59635.0709072874	362770.294294666	32002.762901088	9804.91408962381	9281.37609240323	5962233.4534375	0	14855.2114804007	9006.20625464274	14674.108351702
HU_neg_144	sample	124	ne1	88591.7909778961	3195128.96444413	57007.5731049828	15812.9513345338	13570.9951919584	2538640.46803649	27436.6337671127	8727.97358018961	4393.70210640498	0
HU_neg_148	sample	128	ne1	107351.343538686	1777671.55939428	35172.0113752315	30145.1750424079	7640.42826460261	2212862.97670197	0	4714.33664267984	0	18638.3283559686
HU_neg_149	sample	129	ne1	214900.490026095	232764.037556937	11463.2937963457	15684.6044113964	12151.269621298	2865887.43302811	27247.1831787583	30272.0755969856	10938.1589642391	0
HU_neg_150	sample	130	ne1	0	1526516.11570124	3447.37597580365	16072.7509028793	0	1901577.12581579	13350.6365099103	2679.24265927983	0	9622.84024273207
QC1_010	pool	131	ne1	0	317475.08185774	27234.0503959423	13390.950816415	8175.23933416165	4360292.44553956	11739.9780311352	4978.05115897795	6995.14472938548	3623.57431535713
HU_neg_152	sample	134	ne1	101860.62950402	193189.678359562	22936.8640224887	15705.882088563	26928.6898232215	6512439.64733954	24449.9777092724	14895.7461454869	0	0
HU_neg_154	sample	135	ne1	0	0	15163.0459664311	19379.4801245987	1536.18639415163	1663938.83429038	33779.0846980348	8028.47517783481	0	0
HU_neg_156	sample	136	ne1	0	0	3615.69835108468	0	0	3399351.12851914	45866.8459742294	1899.82699038239	0	3340.47633445213
HU_neg_157	sample	137	ne1	75878.6360109469	291961.736379955	5518.37212764485	6716.36912928364	12704.6989121258	2885215.42543787	14800.6788693642	10908.1371239346	2795.56950834933	0
HU_neg_158	sample	138	ne1	0	17951.5221275421	4976.95064784861	8221.75108848423	1008.57192216061	7257425.83828004	29491.4519920625	5444.99826276113	0	0
HU_neg_163	sample	140	ne1	218702.585453886	49127.5794695733	61299.2921655349	14576.8740422892	0	2235408.68880443	21578.9319209789	6955.866526729	0	4841.96871041119
HU_neg_170	sample	142	ne1	118194.313858912	110207.359064036	18483.6266159778	16474.6482672675	0	4333867.18523661	17858.8189090214	28394.619751578	6453.85924033309	0
HU_neg_171	sample	143	ne1	55775.259094532	131649.323109918	49353.1264422393	5572.54892321671	1682.60449866456	5513347.47944551	6331.74542431618	1933.47192215332	3769.59029600916	0
QC1_011	pool	144	ne1	38006.6711995647	481706.224774127	27088.62489425	11965.7531265319	10862.698602712	6109685.64334607	11545.2011788953	20102.3004588393	0	45466.1114161014
HU_neg_172	sample	147	ne1	181840.596518769	903198.907837287	11406.2119171491	17564.5350103915	2209.43846115838	5327484.14422927	19257.8644041602	41206.4053170932	0	0
HU_neg_173	sample	148	ne1	11686.9719830616	19809.3024382009	0	4213.13752103987	0	3960926.21728685	8939.41644126173	5777.06994764825	3948.77174969479	0
HU_neg_174	sample	149	ne1	127721.148955206	70251.5757502271	7003.69372629978	4705.37078653018	7305.21462904971	8154632.70357252	19483.7749430747	5274.77989804407	0	0
HU_neg_175	sample	150	ne1	182860.420341732	170755.688265405	19815.5498331374	11514.9873629302	18963.9160352013	2157730.10778145	16902.2456820927	15413.0418090513	6872.2008449651	16671.9055698337
HU_neg_178	sample	152	ne1	0	1319094.88879067	7472.56405000602	18813.8186677279	0	3753929.6415279	19879.0388158839	0	10662.815500164	13461.2220470744
HU_neg_179	sample	153	ne1	23775.5437795508	1470872.18189197	57176.0564052597	14863.2047199537	31413.3435549589	2644880.51836638	9372.2555306246	7224.138693264	1430.52218731967	0
HU_neg_180	sample	154	ne1	20023.7275839261	226448.990915098	19906.7180665963	15256.99864013	1946.50808276432	1584440.64327214	7906.69096450665	16559.8574548588	0	25855.4996925191
HU_neg_181	sample	155	ne1	0	0	0	1885.39120984272	0	2805221.36779558	0	2205.05139446613	6628.52477286425	0
HU_neg_182	sample	156	ne1	0	402310.829574368	4788.19074701759	12307.7920613392	0	3383982.62657629	26524.6984119483	10210.91730817	6109.84270038378	4228.85166891446
QC1_012	pool	157	ne1	48093.0771338209	549806.900830134	26877.3786413252	6831.92829152916	13138.7159081464	7060713.65199077	13190.8746895267	0	0	7306.3522965035
HU_neg_184	sample	160	ne1	68516.0666418151	1483409.93365581	50052.1516981416	10084.8101748545	1644.51589697071	1998356.23660822	9300.0097587278	0	0	0
HU_neg_185	sample	161	ne1	23791.3343168634	242870.480465104	0	2243.09570131544	0	3659227.51857524	15783.8406087616	6714.30242299182	0	0
HU_neg_186	sample	162	ne1	0	0	1383.08886226973	9169.09762081759	0	7126090.26395701	0	10460.8330959652	0	0
HU_neg_189	sample	164	ne1	23783.3223321733	132348.264544426	90785.725920312	7946.11421922485	23257.8465913494	7273451.29030425	0	16017.8272158293	6864.31528229662	18214.4700333264
HU_neg_192	sample	165	ne1	174248.120946074	664867.968870555	95209.7212666913	9636.26899062907	1311.50054275732	4638971.23013327	21674.9347390276	31921.9826044246	0	0
HU_neg_196	sample	167	ne1	379162.107513736	116473.916519171	24305.1963451778	3335.28930309082	50127.0411749163	9039748.89080324	32217.7556806084	82792.902113044	11482.1388929745	31956.49979747
QC1_013	pool	171	ne1	99317.5330551209	587008.259821931	31212.3137802106	17942.5834375991	7762.74393890696	5518302.74746079	18414.1441506613	7180.79057323575	12764.6593425743	0
HU_neg_200	sample	174	ne1	57907.5338769939	679917.84894503	13183.3356358597	9144.1388179293	15705.2565426736	6428712.97233335	8900.16471854121	33563.7945675486	16644.919410871	0
HU_neg_201	sample	175	ne1	47350.9527537698	0	23702.5686119933	6433.16120079394	34385.7533997382	3041250.87985818	6892.1208549816	50926.0007617845	0	16336.8074340521
HU_neg_202	sample	176	ne1	70875.1997614108	194884.61962177	44736.1558845631	10965.921442893	24102.6845804353	3685213.19138468	13617.2559865816	18447.7837126427	0	0
HU_neg_204	sample	177	ne1	68493.8100351508	4068466.82101133	9607.49609917829	7806.34107895023	42001.1912923679	8241163.13814027	8059.22049489294	138289.116823063	48017.7167269393	21004.7862449397
HU_neg_207	sample	179	ne1	6995.91754420187	0	10367.3013189862	17015.3919728297	2481.23591943449	8226435.76607604	17997.546763398	33507.810637549	0	32082.1261984759
HU_neg_208	sample	180	ne1	0	0	2177.31351625977	2092.23916658657	897.563896482877	9481749.18584593	1433.05062858286	51715.3849371823	0	0
HU_neg_209	sample	181	ne1	10089.6393190743	38738.1571389422	37862.1350484498	13454.4886622461	18767.0991367937	9247779.0306631	16252.5575705618	NA	NA	0
QC1_014	pool	185	ne1	25762.7718787945	255121.528219817	31027.8830342303	6658.39848805352	5729.22245248511	5952310.63360275	19017.911494579	NA	NA	0
QC1_001_b2	pool	14	ne2	40495.950484769	364431.617106397	11412.9288281618	17387.671370371	0	5935472.84198558	14954.6540579822	NA	6924.18711009832	3903.74436334081
HU_neg_022_b2	sample	17	ne2	0	206515.135800924	0	10941.0117859356	63982.4501291644	4337197.94383507	21166.7592891747	NA	0	5940.99143467867
HU_neg_076_b2	sample	18	ne2	115609.62552561	114454.513112488	69998.3437564776	12130.7123599409	0	9022859.27945263	54611.1824054315	NA	0	0
HU_neg_166_b2	sample	19	ne2	269883.491689927	113580.093580934	63831.0577705582	0	72694.239989673	4226338.24745418	15583.1303836611	NA	14187.3204532684	9650.23052524917
HU_neg_114_b2	sample	20	ne2	533473.730400262	210120.578656329	113161.569874015	28328.1954768525	23648.0862979051	5472025.26038508	14580.7528030109	0	0	5692.11542577102
HU_neg_190_b2	sample	21	ne2	159887.426428087	1963038.94094258	1031896.06258789	35681.5887862296	104220.076580755	4481365.26064481	10485.1455617269	0	13586.348983009	0
HU_neg_139_b2	sample	23	ne2	89996.9122152663	397321.41042959	188615.799890877	6623.23141842094	149777.094598894	6488032.41869287	9671.52199699982	0	0	0
HU_neg_096_b2	sample	24	ne2	21816.0222612218	272304.749415363	72114.6685503046	15719.2486033974	16033.1810071824	2047899.48093663	10746.9358481075	259710.565850266	0	0
HU_neg_058_b2	sample	25	ne2	293336.814697949	265545.688242421	55755.4490155035	4214.32908507053	0	16032757.312473	0	52816.866426781	0	0
HU_neg_031_b2	sample	26	ne2	76632.756441603	983543.529423011	122717.810586127	59334.4933949792	105965.021381024	8150335.63259588	10841.7482403059	0	9269.72807242392	7673.01694151431
QC1_002_b2	pool	27	ne2	27593.8103237999	462644.971914682	47321.74039165	4562.74942449414	0	5845372.99726032	9921.87555637041	0	0	14358.8121247852
HU_neg_039_b2	sample	30	ne2	0	261226.530556634	35215.2437964493	35582.7017482972	11157.5694108295	3910597.78403003	46423.2926845216	108051.874816854	0	4482.60692633307
HU_neg_087_b2	sample	32	ne2	98002.9517120476	299568.868810999	15555.7878295207	14828.8152607129	0	5071243.50552252	57866.1983326181	29254.1526417077	12532.2353098584	4626.86002305355
HU_neg_143_b2	sample	33	ne2	55494.634556421	44588.4435397454	0	12795.8892246855	5310.03851348356	3887554.80160439	33670.4973406821	30244.7631866192	0	0
HU_neg_162_b2	sample	34	ne2	0	1516964.69055518	63806.6636718727	36085.6942864954	6247.27572988972	4966442.99858921	23810.9032847761	0	0	0
HU_neg_102_b2	sample	35	ne2	404468.244928135	281647.680272931	41905.7837070513	15293.4786412088	7322.41078194444	6798626.80020052	0	0	0	0
HU_neg_188_b2	sample	37	ne2	33314.944808846	183566.718126221	0	6259.82882300983	3725.72394884975	3678940.11497038	8375.38283888613	10906.2594014371	0	0
HU_neg_095_b2	sample	38	ne2	47528.6059700578	128844.199308062	139813.455324378	19151.3613854523	25930.7015153398	4220605.24875177	8239.03370555924	37296.1799672044	7450.37683579171	7278.0062930656
HU_neg_062_b2	sample	39	ne2	13657.2803182137	294085.410854187	53767.2032359012	17131.4983911855	0	12812252.9359169	0	48385.7660920893	0	0
QC1_003_b2	pool	40	ne2	96956.5957513125	449435.674786594	31618.3925933619	3902.83524852951	21682.0835606582	6111518.99344107	28080.8714317608	18320.1163493539	0	10411.9211438194
HU_neg_063_b2	sample	43	ne2	176053.070998133	265547.877107559	94785.4000770922	6287.08321967023	23879.0840002186	4250914.48167118	53968.4049346482	40550.1827286384	28312.9289651925	0
HU_neg_011_b2	sample	44	ne2	120632.417721988	39135.9821967938	12881.8131079279	7397.67348022454	0	9575531.43390648	28398.3008323122	21296.8966404689	32920.4519412756	0
HU_neg_074_b2	sample	45	ne2	56831.1824351098	285285.158374408	17159.4461703392	19419.7780931259	7250.09136651983	5442110.57555745	17441.0040118128	47979.7667415768	0	4540.9140770715
HU_neg_122_b2	sample	46	ne2	79507.9335299172	277486.099682416	49274.1319225436	27732.5256512596	18576.0980163882	5462640.91646899	10442.9873299357	29407.3229490333	0	8190.12009366662
HU_neg_142_b2	sample	47	ne2	126549.647861018	1157768.20197981	27616.3700150151	22285.9301877964	41128.3804356554	3868920.4712698	20348.7457821339	0	0	3557.87322079825
HU_neg_030_b2	sample	48	ne2	98680.5835491305	913375.879084988	5431.78713810865	25985.6083462462	0	9518661.49820935	7727.37699156705	15647.1826887771	60097.4399421925	3296.84451085836
HU_neg_187_b2	sample	50	ne2	91372.407949295	51972.7695434205	0	0	0	6338357.7565229	5837.18266690716	4463.63600009066	0	0
HU_neg_167_b2	sample	51	ne2	33407.8381345849	99266.8636634783	0	5464.28144753593	0	6486645.29707934	6522.10336591595	6867.12109745928	0	0
HU_neg_113_b2	sample	52	ne2	0	182991.388260527	78501.5561986214	19241.8120761317	0	3257605.45173639	0	16696.5729237654	92350.3419541241	4825.34857042043
QC1_004_b2	pool	53	ne2	41161.6369830302	408289.116832267	20706.6680855159	12064.4334662941	2930.41721411036	5957055.55137109	15698.565041747	11779.122843753	0	0
HU_neg_081_b2	sample	56	ne2	29347.9526465379	272965.978721608	12862.1971211753	14969.0239808156	18304.779873208	3536705.06288103	21637.9094232476	0	0	0
HU_neg_014_b2	sample	57	ne2	33420.2819280883	35190.7651416068	10492.5139828759	5625.63278400024	0	6472254.01707256	0	6227.07585818503	NA	4087.32859261343
HU_neg_206_b2	sample	58	ne2	29416.0115336423	855486.497558241	41617.7106511454	28509.2589845843	28037.4370225758	5821754.98477478	16411.6784681115	7962.98574595804	NA	22512.9294636802
HU_neg_119_b2	sample	59	ne2	277653.26431386	257571.130903976	5354.600221848	30976.2725699143	0	31157829.6067835	8151.37388998154	27530.4698207067	NA	0
HU_neg_033_b2	sample	60	ne2	0	164677.080768135	83281.1312847051	43522.2927713284	3921.60013901057	6392745.95768966	19629.8909440594	54137.3488721593	NA	4533.77551008407
HU_neg_067_b2	sample	61	ne2	141382.267942658	189359.06325266	36710.1373710033	15313.9860614036	0	6243538.74143606	0	7872.28417561912	NA	4309.91095787936
HU_neg_140_b2	sample	62	ne2	74958.853019393	874327.426915659	19910.6907228712	4433.47563325165	41076.3489966972	5226768.05045085	6823.36987997079	22007.8651912444	NA	6211.33485416505
HU_neg_164_b2	sample	63	ne2	102483.132169159	192081.163839607	14799.9811736034	12633.6538173611	2383.06154259148	3679733.52338438	37617.3975530057	28853.2535664278	NA	5137.47693452919
HU_neg_193_b2	sample	64	ne2	172603.458322612	119638.676281592	31473.6062475217	10553.403690719	0	4553202.14700889	5813.89156665101	24577.3431734197	NA	24590.0374650008
HU_neg_112_b2	sample	65	ne2	98485.314669602	582041.106442394	73654.8164931493	21436.4009253846	0	5095462.43338287	6220.68938434284	0	NA	54242.8122107214
QC1_005_b2	pool	66	ne2	0	434689.009125799	29870.4941893777	14718.3487560467	7302.52431898542	6034145.40442262	7554.03047647795	8622.04898213134	NA	0
HU_neg_097_b2	sample	69	ne2	0	1131611.99292298	40385.0745174673	25074.5081452152	0	5347279.45050044	12472.4830565944	6472.46883779735	NA	9904.31119626018
HU_neg_056_b2	sample	70	ne2	88683.1202776078	38863.887538975	12174.2447007815	30061.8948243528	10683.2891878334	5067183.69523518	8568.05490227138	14550.0302494019	NA	9036.42851637183
HU_neg_195_b2	sample	71	ne2	0	91414.3427171331	8088.19523535536	4303.16195016402	0	11052341.6095399	12180.8306639319	5129.52222994276	NA	4543.39927970651
HU_neg_135_b2	sample	72	ne2	201018.838840406	858329.379394708	114103.121269777	18737.5887731187	21385.1158086135	5350878.72665917	24465.7846325188	16720.9994248099	NA	9361.25095387635
HU_neg_159_b2	sample	73	ne2	54366.2381805297	141011.071763004	8674.10875195124	25376.2915476712	6013.11193212169	3238785.38800788	5809.88698505056	25010.1181659655	NA	23135.7456592626
HU_neg_070_b2	sample	76	ne2	59884.0471080122	284981.750395322	35308.578685993	9698.73116726458	2781.50548110455	4425705.33921873	5707.00066964965	37567.8078262496	NA	0
HU_neg_038_b2	sample	77	ne2	11732.8817059067	15635.7100149882	0	0	0	7075736.71094162	4932.67507525967	3899.30224664678	NA	0
HU_neg_026_b2	sample	78	ne2	52478.4243520517	127739.253864887	0	7475.18030368868	0	2189999.68899751	7162.23022154423	7220.3405167093	0	12678.1780185843
QC1_006_b2	pool	79	ne2	40974.3987460266	409187.099619854	44664.6634213272	11364.4035305285	21844.3553720901	5770295.80742356	18164.1670298526	33819.4923077347	0	17294.4661916624
HU_neg_098_b2	sample	82	ne2	0	151526.70618959	36180.540262435	36794.7030793449	0	1634038.57596362	35407.4360623033	22891.1582249401	205719.903080552	0
HU_neg_115_b2	sample	83	ne2	8529.0502438562	161344.470674834	2942.80621967219	15322.9422875146	29663.0496846084	3293129.57261074	11327.622932759	18916.5392453187	81931.5147433721	0
HU_neg_137_b2	sample	85	ne2	157879.278797971	664518.767566506	130440.103875558	17626.4285803995	15700.6176711727	8452267.39347817	12581.2981605925	16150.3084238067	0	0
HU_neg_019_b2	sample	86	ne2	96387.9834515478	234812.62988466	14662.4452778844	8601.8722626254	0	4700703.26839144	9505.74268613545	0	0	37785.8757986175
HU_neg_073_b2	sample	87	ne2	47201.2620316706	2640672.06448667	120255.773135133	9707.9530808842	2603.46290367583	5853815.93368433	13764.3623904254	17663.4118168558	75446.1919531793	29269.6121043192
HU_neg_168_b2	sample	88	ne2	61120.5395695007	77497.9128777463	0	6824.61521980439	0	3443482.34359653	5363.98882825227	14493.1771371348	71806.6973200351	12931.5996710815
HU_neg_191_b2	sample	89	ne2	42051.1842851738	158419.064078966	31955.9987113243	7383.11148153721	19025.4941491032	4593977.99989214	20572.0354732348	14672.1747514635	96891.2605469779	11112.3473991272
HU_neg_040_b2	sample	90	ne2	0	281524.400734101	10328.9287884018	27074.2660860586	0	3859438.05588075	9990.04901447317	5434.61580382133	0	5840.53283889335
